title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
7bdrm Duplex in Magodo Phase2 for sale,259.0,Duplex,7.0,7.0,semi-furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,enterprise,"₦ 750,000,000"
"2bdrm Apartment in Off College Road, Ifako-Ogba for sale",650.0,Apartment,2.0,2.0,semi-furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,enterprise,"₦ 100,000,000"
4bdrm Duplex in Medina for sale,500.0,Duplex,4.0,4.0,semi-furnished,"Gbagada, Medina",Medina,Gbagada,enterprise,"₦ 400,000,000"
Furnished 1bdrm Apartment in Brains And Hammers for sale,250.0,Apartment,1.0,1.0,furnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,enterprise,"₦ 38,000,000"
"Furnished 3bdrm Duplex in Agip Estate, Obio-Akpor for sale",255.0,Duplex,3.0,3.0,furnished,"Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,enterprise,"₦ 185,000,000"
in Abeokuta North for sale,,,,,,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 40,000,000"
"Furnished 2bdrm Bungalow in Balofem Properties , Abeokuta North",1200.0,Bungalow,2.0,4.0,furnished,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 25,000,000"
"10bdrm Bungalow in Balofem Properties $, Abeokuta North for sale",700.0,Bungalow,10.0,5.0,semi-furnished,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 25,000,000"
"4bdrm Bungalow in Balofem Properties &, Abeokuta North for sale",648.0,Bungalow,4.0,5.0,unfurnished,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 10,000,000"
"Furnished 6bdrm Block of Flats in Balofem Properties &, Abeokuta North",648.0,Block of Flats,6.0,5.0,furnished,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 30,000,000"
"10bdrm Bungalow in Balofem Properties &, Abeokuta North for sale",648.0,Bungalow,10.0,2.0,unfurnished,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 40,000,000"
"10bdrm Bungalow in Balofem Properties &, Abeokuta South for sale",648.0,Bungalow,10.0,11.0,semi-furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 20,000,000"
"Furnished 5bdrm Bungalow in Balofem Properties &, Abeokuta South",648.0,Bungalow,5.0,2.0,furnished,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,diamond,"₦ 18,000,000"
"4bdrm Bungalow in Balofem Properties &, Abeokuta North for sale",648.0,Bungalow,4.0,2.0,unfurnished,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 10,000,000"
"Furnished 20bdrm House in Balofem Properties &, Abeokuta North",1200.0,House,20.0,16.0,furnished,"Ogun State, Abeokuta North",Abeokuta North,Ogun State,diamond,"₦ 50,000,000"
5bdrm Duplex in Magodo Gra Phase1 for sale,315.0,Duplex,5.0,5.0,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,enterprise,"₦ 700,000,000"
9bdrm Duplex in Asokoro for sale,1500.0,Duplex,9.0,5.0,semi-furnished,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),enterprise,"₦ 1,500,000,000"
Furnished 4bdrm Duplex in Guzape District for sale,600.0,Duplex,4.0,4.0,furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),premium,"₦ 850,000,000"
