title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
3bdrm Apartment in Katampe (Main) for sale,250,Apartment,3,3,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Diamond,160000000.0
"2bdrm Duplex in Emerald Duplex, Ogombo for sale",250,Duplex,2,2,Unfurnished,"Ajah, Ogombo",Ogombo,Lagos Island,Enterprise,150000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,460000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,420000000.0
5bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,400000000.0
4bdrm Duplex in Ikota for sale,355,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,155000000.0
5bdrm Duplex in Lekki Phase 1 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,550000000.0
Furnished 4bdrm Duplex in Western Avenue for sale,500,Duplex,4,4,Furnished,"Surulere, Western Avenue",Western Avenue,Lagos Mainland,Enterprise,450000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,250000000.0
6bdrm Duplex in Lekki Phase 2 for sale,350,Duplex,6,6,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,400000000.0
4bdrm Duplex in Ajah for sale,500,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,250000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,170000000.0
